2023-10-09 13:18:53.232 INFO  [8388] [CMQCommBaseClient::Connect@223] mq client type[3]---connect server[127.0.0.1:49675], nLoopTimes[2],nConnTimeout[0]

2023-10-09 13:18:53.239 INFO  [8388] [CMQCommBaseClient::ConnectToServer@781] connect to server succ[127.0.0.1]

2023-10-09 13:18:53.239 INFO  [8388] [CMQCommBaseClient::Connect@263] connect to server[tcp://127.0.0.1:49675] success,socket id[1456]-[00000000000005B0],local ipaddr[127.0.0.1:50383],pIocp[00000246BA1F0020]

2023-10-09 13:18:53.239 INFO  [8388] [CMQCommBaseClient::RegisterToServer@620] Send Register cmd succ,wait rsp timeout[500],socketid[1456]

2023-10-09 13:18:53.239 INFO  [8388] [CMQCommBaseClient::RegisterToServer@625] recv register rsp status[1],socket id[1456],m_strServerAddr[tcp://127.0.0.1:49675]

2023-10-09 13:18:53.239 INFO  [8388] [CTimerProxy::Regitser@52] Register timer event,Handle[3],pUserData[00000246BA1D5580]

2023-10-09 13:18:53.239 INFO  [8388] [CMQCommBaseClient::RegitserHeartBeatTimer@511] call register heartbeat timer. timerid[3],client[00000246BA1D5580]---nClientType[3]

2023-10-09 13:18:53.239 INFO  [8388] [CMQCommSubject::Connect@47] want to connect to server [tcp://127.0.0.1:49675],client type[Subject],send register cmd ret[0]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommRequire::Connect@204] want connect to server[tcp://127.0.0.1:49671],nConnTimeout[0],client type[Require],m_dwSpliceSendBufSize[10240]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::Connect@223] mq client type[5]---connect server[127.0.0.1:49671], nLoopTimes[2],nConnTimeout[0]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::ConnectToServer@781] connect to server succ[127.0.0.1]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::Connect@263] connect to server[tcp://127.0.0.1:49671] success,socket id[1460]-[00000000000005B4],local ipaddr[127.0.0.1:50380],pIocp[00000246BA1EEF80]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::RegisterToServer@620] Send Register cmd succ,wait rsp timeout[5000],socketid[1460]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::RegisterToServer@625] recv register rsp status[1],socket id[1460],m_strServerAddr[tcp://127.0.0.1:49671]

2023-10-09 13:18:53.250 INFO  [8388] [CTimerProxy::Regitser@52] Register timer event,Handle[4],pUserData[00000246BA200370]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::RegitserHeartBeatTimer@511] call register heartbeat timer. timerid[4],client[00000246BA200370]---nClientType[5]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommRequire::Connect@234] want connect to server[tcp://127.0.0.1:49671] succ,client type[Require]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::CMQCommBaseClient@139] CMQCommBaseClient: Get work path is[D:\NewDesktop\10_7winform\bin\Debug].


2023-10-09 13:18:53.250 INFO  [8388] [CMQCommPairClient::Connect@41] want to connect to server [tcp://127.0.0.1:49677],client type[PairC], connect timeout is[5000]ms

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::Connect@223] mq client type[0]---connect server[127.0.0.1:49677], nLoopTimes[100],nConnTimeout[5000]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::ConnectToServer@781] connect to server succ[127.0.0.1]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::Connect@263] connect to server[tcp://127.0.0.1:49677] success,socket id[1528]-[00000000000005F8],local ipaddr[127.0.0.1:50384],pIocp[00000246BA1EF5A0]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::RegisterToServer@620] Send Register cmd succ,wait rsp timeout[5000],socketid[1528]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::RegisterToServer@625] recv register rsp status[1],socket id[1528],m_strServerAddr[tcp://127.0.0.1:49677]

2023-10-09 13:18:53.250 INFO  [8388] [CTimerProxy::Regitser@52] Register timer event,Handle[5],pUserData[00000246BBAECB00]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommBaseClient::RegitserHeartBeatTimer@511] call register heartbeat timer. timerid[5],client[00000246BBAECB00]---nClientType[0]

2023-10-09 13:18:53.250 INFO  [8388] [CMQCommPairClient::Connect@75] want to connect to server [tcp://127.0.0.1:49677],client type[PairC],send register cmd ret[0]

2023-10-09 13:18:58.285 WARN  [8760] [CMQCommRequire::SendData@36] !!!socketid[1416] dwCurNeedStatus[1],m_bNeedReconn[0]

2023-10-09 13:18:58.285 WARN  [8760] [CMQCommRequire::TempSaveSendData@298] m_bCallConn[1],m_bNeedReconn[0]

2023-10-09 13:18:58.285 WARN  [8760] [CMQCommRequire::SendData@36] !!!socketid[1416] dwCurNeedStatus[1],m_bNeedReconn[0]

2023-10-09 13:18:58.285 WARN  [8760] [CMQCommRequire::TempSaveSendData@298] m_bCallConn[1],m_bNeedReconn[0]

