2023-08-29 14:28:41.846 INFO  [17436] [CServerManager::PrintLog@36181] ======================================== V4.0.0 Start Print Log ========================================

2023-08-29 14:28:41.855 INFO  [17436] [CClientManager::InitAuthorization@5901] begin.

2023-08-29 14:28:41.952 INFO  [17436] [CClientManager::CheckLicense@6626] start

2023-08-29 14:28:41.952 INFO  [17436] [CClientManager::CheckLicense@6678] end

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::InitAuthorization@5957] SDK: InitAuthorization, authorization check successful.

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::InitAuthorization@5961] end.

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::Init@5403] begin.

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::DeInitPair@5690] start

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::DeInitPair@5704] end

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::DeInitPair@5690] start

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::DeInitPair@5704] end

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::Init@5421] end.nRet[0]

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::PF_DetectAndStartServer@12445] begin.

2023-08-29 14:28:42.048 INFO  [17436] [CServerManager::DetectService@33907] SDK: DetectService by OpenSCManager start

2023-08-29 14:28:42.048 ERROR [17436] [CServerManager::DetectService@33919] SDK: DetectService OpenSCManager failed. Last error:[5]

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::ServiceRun@4733] begin.

2023-08-29 14:28:42.048 ERROR [17436] [CClientManager::ServiceRun@4801] SDK: ServiceRun OpenSCManager fail. Last error: [5]

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::ServiceRun@4902] end.

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::PF_DeInitPrintLog@6917] SDK: Destroy Zmq context start.

2023-08-29 14:28:42.048 INFO  [17436] [CClientManager::PF_DeInitPrintLog@6922] SDK: Destroy Zmq context end.

2023-08-29 15:53:51.073 INFO  [12700] [CServerManager::PrintLog@36181] ======================================== V4.0.0 Start Print Log ========================================

2023-08-29 15:53:51.082 INFO  [12700] [CClientManager::InitAuthorization@5901] begin.

2023-08-29 15:53:51.177 INFO  [12700] [CClientManager::CheckLicense@6626] start

2023-08-29 15:53:51.177 INFO  [12700] [CClientManager::CheckLicense@6678] end

2023-08-29 15:53:51.272 INFO  [12700] [CClientManager::InitAuthorization@5957] SDK: InitAuthorization, authorization check successful.

2023-08-29 15:53:51.272 INFO  [12700] [CClientManager::InitAuthorization@5961] end.

2023-08-29 15:53:51.272 INFO  [12700] [CClientManager::Init@5403] begin.

2023-08-29 15:53:51.272 INFO  [12700] [CClientManager::DeInitPair@5690] start

2023-08-29 15:53:51.272 INFO  [12700] [CClientManager::DeInitPair@5704] end

2023-08-29 15:53:51.272 INFO  [12700] [CClientManager::DeInitPair@5690] start

2023-08-29 15:53:51.272 INFO  [12700] [CClientManager::DeInitPair@5704] end

2023-08-29 15:53:51.272 INFO  [12700] [CClientManager::Init@5421] end.nRet[0]

2023-08-29 15:53:51.272 INFO  [12700] [CClientManager::PF_DetectAndStartServer@12445] begin.

2023-08-29 15:53:51.272 INFO  [12700] [CServerManager::DetectService@33907] SDK: DetectService by OpenSCManager start

2023-08-29 15:53:51.273 ERROR [12700] [CServerManager::DetectService@33919] SDK: DetectService OpenSCManager failed. Last error:[5]

2023-08-29 15:53:51.273 INFO  [12700] [CClientManager::ServiceRun@4733] begin.

2023-08-29 15:53:51.273 ERROR [12700] [CClientManager::ServiceRun@4801] SDK: ServiceRun OpenSCManager fail. Last error: [5]

2023-08-29 15:53:51.273 INFO  [12700] [CClientManager::ServiceRun@4902] end.

2023-08-29 15:53:51.273 INFO  [12700] [CClientManager::PF_DeInitPrintLog@6917] SDK: Destroy Zmq context start.

2023-08-29 15:53:51.273 INFO  [12700] [CClientManager::PF_DeInitPrintLog@6922] SDK: Destroy Zmq context end.

2023-08-29 16:11:40.450 INFO  [5660] [CServerManager::PrintLog@36181] ======================================== V4.0.0 Start Print Log ========================================

2023-08-29 16:11:40.458 INFO  [5660] [CClientManager::InitAuthorization@5901] begin.

2023-08-29 16:11:40.458 INFO  [5660] [CClientManager::CheckLicense@6626] start

2023-08-29 16:11:40.458 INFO  [5660] [CClientManager::CheckLicense@6678] end

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::InitAuthorization@5957] SDK: InitAuthorization, authorization check successful.

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::InitAuthorization@5961] end.

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::Init@5403] begin.

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::DeInitPair@5690] start

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::DeInitPair@5704] end

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::DeInitPair@5690] start

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::DeInitPair@5704] end

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::Init@5421] end.nRet[0]

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::PF_DetectAndStartServer@12445] begin.

2023-08-29 16:11:40.556 INFO  [5660] [CServerManager::DetectService@33907] SDK: DetectService by OpenSCManager start

2023-08-29 16:11:40.556 ERROR [5660] [CServerManager::DetectService@33919] SDK: DetectService OpenSCManager failed. Last error:[5]

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::ServiceRun@4733] begin.

2023-08-29 16:11:40.556 ERROR [5660] [CClientManager::ServiceRun@4801] SDK: ServiceRun OpenSCManager fail. Last error: [5]

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::ServiceRun@4902] end.

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::PF_DeInitPrintLog@6917] SDK: Destroy Zmq context start.

2023-08-29 16:11:40.556 INFO  [5660] [CClientManager::PF_DeInitPrintLog@6922] SDK: Destroy Zmq context end.

2023-08-29 16:11:44.996 INFO  [26740] [CServerManager::PrintLog@36181] ======================================== V4.0.0 Start Print Log ========================================

2023-08-29 16:11:45.005 INFO  [26740] [CClientManager::InitAuthorization@5901] begin.

2023-08-29 16:11:45.005 INFO  [26740] [CClientManager::CheckLicense@6626] start

2023-08-29 16:11:45.005 INFO  [26740] [CClientManager::CheckLicense@6678] end

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::InitAuthorization@5957] SDK: InitAuthorization, authorization check successful.

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::InitAuthorization@5961] end.

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::Init@5403] begin.

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::DeInitPair@5690] start

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::DeInitPair@5704] end

2023-08-29 16:11:45.100 INFO  [26740] [CClientManager::DeInitPair@5690] start

