2023-08-29 14:28:41.854 INFO  [17436] [CTimerProxy::Regitser@52] Register timer event,Handle[0],pUserData[00000206DB753410]

2023-08-29 14:28:41.855 INFO  [17436] [CCommFactory::SetLogPath@83] set log---call register timer,timer id[0],this[00000206DB753410],pLogPath[H:\WindowsFormsApp1\obj\Debug\log\SDK]

2023-08-29 14:28:41.855 INFO  [17436] [CCommFactory::UpdateLogPath@231] current Path[H]

2023-08-29 14:28:42.048 INFO  [17436] [CTimerProxy::Unregister@61] Unegister timer event,Handle[0]

2023-08-29 14:28:42.048 INFO  [17436] [CTimerProxy::Unregister@66] erase timer event,Handle[0] succ!!!

2023-08-29 14:28:42.048 INFO  [17436] [CTimerProxy::Unregister@74] Unegister timer event,Handle[0]---end

2023-08-29 15:53:51.081 INFO  [12700] [CTimerProxy::Regitser@52] Register timer event,Handle[0],pUserData[0000021C3DD88920]

2023-08-29 15:53:51.082 INFO  [12700] [CCommFactory::SetLogPath@83] set log---call register timer,timer id[0],this[0000021C3DD88920],pLogPath[H:\WindowsFormsApp1\obj\Debug\log\SDK]

2023-08-29 15:53:51.082 INFO  [12700] [CCommFactory::UpdateLogPath@231] current Path[H]

2023-08-29 15:53:51.273 INFO  [12700] [CTimerProxy::Unregister@61] Unegister timer event,Handle[0]

2023-08-29 15:53:51.273 INFO  [12700] [CTimerProxy::Unregister@66] erase timer event,Handle[0] succ!!!

2023-08-29 15:53:51.273 INFO  [12700] [CTimerProxy::Unregister@74] Unegister timer event,Handle[0]---end

2023-08-29 16:11:40.458 INFO  [5660] [CTimerProxy::Regitser@52] Register timer event,Handle[0],pUserData[000001F96B2BCA20]

2023-08-29 16:11:40.458 INFO  [5660] [CCommFactory::SetLogPath@83] set log---call register timer,timer id[0],this[000001F96B2BCA20],pLogPath[H:\WindowsFormsApp1\obj\Debug\log\SDK]

2023-08-29 16:11:40.458 INFO  [5660] [CCommFactory::UpdateLogPath@231] current Path[H]

2023-08-29 16:11:40.557 INFO  [5660] [CTimerProxy::Unregister@61] Unegister timer event,Handle[0]

2023-08-29 16:11:40.557 INFO  [5660] [CTimerProxy::Unregister@66] erase timer event,Handle[0] succ!!!

